Frame,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,
,SpineBase,SpineBase,SpineMid,SpineMid,Neck ,Neck ,Head,Head,ShoulderLeft,ShoulderLeft,ElbowLeft,ElbowLeft,WristLeft,WristLeft,HandLeft,HandLeft,ShoulderRight,ShoulderRight,ElbowRight,ElbowRight,WristRight,WristRight,HandRight,HandRight,HipLeft,HipLeft,KneeLeft,KneeLeft,AnkleLeft,AnkleLeft,FootLeft ,FootLeft ,HipRight  ,HipRight  ,KneeRight  ,KneeRight  ,AnkleRight,AnkleRight,FootRight ,FootRight ,Position
1,280,284,282,264,280,151,275,94,223,190,203,277,199,356,199,389,338,188,358,279,362,360,361,393,254,311,245,420,235,540,230,571,307,310,314,428,321,542,321,574,In
2,269,284,271,263,267,149,262,90,209,189,188,273,187,353,189,388,327,187,348,280,350,362,350,397,242,312,239,425,235,554,229,588,297,311,306,432,313,550,313,583,In
3,268,284,269,264,264,149,260,89,205,189,185,273,184,354,186,389,325,187,346,280,349,362,350,397,240,313,238,425,235,553,231,586,296,311,305,433,313,550,312,583,In
4,262,286,263,264,256,149,249,88,196,189,177,272,179,354,179,380,317,187,341,282,344,365,346,401,235,314,233,430,229,555,224,589,291,313,301,439,312,579,312,616,In
5,261,286,261,264,254,148,247,86,194,188,175,273,177,354,177,381,315,187,340,283,344,366,346,403,234,315,230,430,225,554,220,588,290,313,302,439,316,583,317,622,In
6,277,298,279,272,274,132,263,62,205,182,182,284,181,381,182,414,344,177,377,298,379,400,380,445,246,332,214,482,181,628,170,676,309,330,354,480,400,630,404,680,In
7,259,309,261,279,250,123,238,50,166,183,136,290,147,406,128,439,335,178,373,302,374,425,375,478,220,351,181,555,138,774,119,855,302,345,343,522,379,683,384,744,In
8,249,310,249,278,238,108,214,30,148,171,108,292,92,425,79,467,327,165,373,292,375,425,369,468,209,355,133,570,50,802,23,896,292,348,358,535,417,708,429,777,In
9,283,245,287,222,295,99,234,41,188,118,127,236,166,364,169,419,381,140,404,323,357,461,340,508,229,287,185,115,373,310,349,374,330,288,480,411,373,432,385,436,In
10,272,305,274,272,279,106,224,40,200,133,126,240,178,362,175,417,343,103,399,272,367,427,356,479,238,340,122,212,176,364,136,358,303,340,480,294,394,371,398,412,In
11,257,296,256,265,245,112,220,35,160,151,122,261,128,383,115,420,331,154,382,286,390,411,395,462,210,338,334,243,202,355,223,418,304,336,306,537,307,715,308,781,In
12,250,291,249,263,234,117,215,49,157,159,129,256,128,359,126,390,312,156,360,279,369,389,366,421,212,329,212,504,211,657,203,709,293,325,352,490,402,636,409,686,In
13,284,281,285,255,278,124,267,51,213,165,186,270,187,358,180,385,346,158,382,276,382,377,385,415,251,312,235,431,215,571,207,610,318,311,336,429,356,566,356,603,In
14,275,273,274,253,267,149,259,88,212,181,200,270,198,353,199,385,323,173,354,263,366,350,368,379,250,299,256,413,289,494,290,519,303,297,324,410,306,526,308,556,In
15,279,262,279,243,273,146,265,94,224,175,205,259,204,339,205,367,325,173,353,257,363,338,364,366,256,286,258,396,277,483,276,506,305,285,322,398,312,485,312,509,In
16,303,256,304,239,303,150,294,99,253,178,236,253,235,329,236,355,350,173,374,256,376,334,375,361,279,278,276,389,283,465,265,480,326,279,337,391,327,458,336,476,In
17,305,262,306,245,304,154,297,103,253,185,238,262,239,336,238,362,353,180,373,258,376,331,375,356,283,286,285,398,288,459,274,477,328,284,339,394,327,457,340,474,In
18,301,269,303,251,298,162,282,107,251,190,237,268,233,329,233,354,348,183,372,266,375,334,374,360,280,292,271,401,270,477,265,499,323,290,333,398,326,465,349,466,In
19,237,271,238,253,233,161,225,109,180,194,164,271,163,335,164,361,282,187,299,268,305,332,304,359,216,295,211,406,223,469,205,460,260,292,274,412,286,485,285,506,In
20,218,270,217,253,211,162,201,109,161,192,145,266,146,331,145,352,260,185,282,267,285,336,286,363,197,294,207,409,215,471,196,463,241,291,233,411,248,483,246,504,In
21,143,273,144,257,138,170,132,116,85,204,65,273,58,339,53,353,189,194,208,269,217,334,220,360,121,299,119,386,201,445,217,464,167,294,198,379,206,449,204,470,In
22,86,264,87,249,81,162,76,111,35,188,29,253,18,309,14,328,131,187,148,264,150,328,149,355,66,286,72,379,153,438,172,456,108,283,130,374,139,443,139,463,In
23,85,266,86,250,80,162,75,111,35,190,27,255,17,312,13,332,130,188,147,264,148,328,147,355,65,287,71,375,153,435,172,452,107,285,128,375,136,445,136,465,In
24,86,266,86,251,80,163,76,112,35,192,28,256,36,320,32,341,131,188,147,264,147,328,147,355,65,287,73,377,156,437,174,455,107,285,129,373,137,444,137,463,In
25,85,268,84,252,79,164,69,111,33,191,29,256,39,322,36,343,128,187,148,264,153,326,158,353,65,289,25,359,-21,437,-26,457,107,286,128,374,137,444,139,463,In
26,140,272,140,255,131,167,123,115,82,197,66,268,63,332,62,352,183,192,206,267,215,329,211,356,119,295,76,361,139,364,136,381,164,292,197,373,200,445,200,465,In
27,184,270,184,253,178,164,173,111,127,197,110,269,110,332,110,360,227,188,244,268,246,330,245,357,162,294,144,380,209,373,209,398,209,291,212,384,207,476,206,497,In
28,232,276,231,258,226,165,220,112,172,196,155,272,151,337,151,356,276,193,296,272,303,336,300,355,209,301,202,393,215,479,213,500,256,298,277,403,289,482,290,504,In
29,284,275,285,256,283,161,273,109,229,195,217,272,216,337,216,364,332,190,352,270,354,335,353,355,261,300,254,411,256,489,253,511,307,297,321,394,320,463,319,484,In
30,331,273,329,255,328,160,324,107,274,192,256,270,259,335,262,362,374,190,392,267,399,330,405,356,309,297,300,398,304,477,306,498,354,295,378,409,390,479,396,499,In
31,425,274,423,256,425,160,416,109,371,195,359,273,358,337,358,364,475,191,494,271,500,335,498,361,402,299,392,406,378,487,380,510,448,297,461,396,461,478,466,499,In
32,448,270,446,252,447,157,442,107,396,191,382,267,385,331,386,358,499,188,514,264,521,328,520,355,426,294,438,407,436,475,427,461,472,293,477,403,474,476,480,497,In
33,473,267,471,250,475,156,469,106,424,187,411,266,411,331,409,358,526,187,543,262,545,327,541,354,450,291,448,399,447,468,430,453,495,290,500,400,494,471,494,450,In
34,482,269,481,251,489,155,483,104,435,188,418,266,415,333,414,361,540,188,556,264,555,329,550,357,458,292,462,414,457,498,462,520,504,292,507,402,495,468,504,451,In
35,485,272,484,253,493,154,487,102,437,187,419,268,414,332,413,360,544,189,560,267,557,334,550,361,460,295,463,415,455,507,459,533,507,296,510,402,495,465,512,452,In
36,493,281,489,259,493,142,490,83,434,182,415,271,419,349,422,384,554,184,573,276,578,361,579,396,467,308,463,428,462,528,469,556,520,308,529,435,539,558,552,591,In
37,533,292,533,266,542,134,535,68,470,176,449,281,443,368,440,405,605,177,619,277,622,366,633,395,502,320,497,440,493,583,496,620,563,322,575,443,591,591,600,633,In
38,540,302,543,273,557,125,564,50,486,171,455,289,441,386,436,429,612,146,613,250,617,364,623,405,509,328,485,489,466,635,464,681,568,330,594,487,620,622,627,667,In
39,522,314,523,281,541,114,537,38,460,171,428,284,436,403,445,443,602,171,602,294,623,457,624,497,486,342,447,510,416,647,415,698,554,348,593,528,629,684,644,742,In
40,513,328,516,293,541,116,534,36,471,173,427,284,428,404,430,445,599,177,598,307,626,461,627,503,480,350,431,513,395,641,390,690,541,362,589,550,633,716,647,780,In
41,468,315,466,282,472,115,444,38,374,180,348,297,345,425,346,468,568,172,601,299,620,431,614,447,425,357,355,528,298,669,292,725,510,360,571,542,626,699,647,762,In
42,400,312,396,278,391,112,369,32,302,176,269,297,261,422,259,464,485,168,528,294,533,423,525,465,361,355,315,529,280,669,276,725,443,353,498,537,546,696,564,758,In
43,387,311,388,277,390,112,368,33,298,175,269,293,264,410,257,462,483,169,511,302,506,427,546,433,346,352,289,517,243,651,234,704,427,352,465,523,497,662,507,717,In
44,335,305,335,275,335,125,317,49,251,179,229,295,230,405,232,455,416,171,447,295,447,405,478,405,298,344,271,494,250,613,244,657,371,342,413,499,448,633,456,681,In
45,327,302,326,272,323,125,307,49,246,175,223,294,223,399,224,446,401,169,436,291,438,397,468,398,293,339,269,492,249,618,244,663,362,336,419,494,471,634,481,683,In
46,329,301,330,273,327,131,309,53,255,181,234,292,232,389,234,432,401,170,435,290,436,392,465,392,297,336,278,485,261,611,256,653,363,333,415,481,460,608,467,651,In
47,348,291,349,264,351,132,333,60,280,176,261,285,258,374,259,413,420,169,445,284,443,377,441,408,316,322,315,445,314,587,310,628,379,322,386,443,393,582,394,623,In
48,331,288,332,263,329,137,316,69,263,184,245,285,246,372,250,410,394,172,421,279,423,369,420,407,301,319,301,438,301,567,298,602,363,317,370,441,379,580,381,617,In
