Frame,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,
,SpineBase,SpineBase,SpineMid,SpineMid,Neck ,Neck ,Head,Head,ShoulderLeft,ShoulderLeft,ElbowLeft,ElbowLeft,WristLeft,WristLeft,HandLeft,HandLeft,ShoulderRight,ShoulderRight,ElbowRight,ElbowRight,WristRight,WristRight,HandRight,HandRight,HipLeft,HipLeft,KneeLeft,KneeLeft,AnkleLeft,AnkleLeft,FootLeft ,FootLeft ,HipRight  ,HipRight  ,KneeRight  ,KneeRight  ,AnkleRight,AnkleRight,FootRight ,FootRight ,Position
1,250,271,252,251,248,146,245,89,176,180,104,193,33,182,3,179,312,181,393,205,458,210,493,210,218,303,220,424,221,543,214,576,282,302,286,426,290,539,287,572,Out
2,247,271,249,252,244,147,240,88,173,181,102,194,31,185,0,182,310,181,391,203,457,205,491,205,215,304,218,424,220,544,213,578,280,303,283,424,286,540,283,573,Out
3,247,271,249,252,244,146,241,87,173,181,104,195,32,186,2,182,309,181,390,203,457,205,491,205,215,304,218,424,220,544,214,577,280,303,283,424,286,540,283,573,Out
4,247,271,249,251,244,146,241,87,173,181,103,195,32,186,2,183,309,181,390,203,457,206,491,205,215,304,218,424,220,544,214,577,280,302,283,424,286,540,283,573,Out
5,250,275,251,252,247,137,241,72,167,176,94,192,14,180,-20,180,318,176,416,200,491,203,530,205,215,311,230,436,247,583,240,623,286,309,285,436,284,580,279,620,Out
6,237,282,241,255,236,112,219,40,129,149,48,203,-30,258,-59,279,326,164,449,195,557,194,589,193,188,333,220,520,252,709,237,778,287,329,354,500,418,665,418,727,Out
7,239,298,240,265,228,105,220,20,136,182,45,173,109,82,132,52,327,166,447,167,567,182,618,175,190,347,128,557,63,774,32,862,292,340,443,485,588,625,612,693,Out
8,290,258,276,231,197,97,238,21,105,163,6,169,125,109,171,86,310,141,427,130,546,161,612,185,255,314,372,499,505,713,524,802,380,284,257,468,136,650,114,726,Out
9,364,139,373,135,417,154,498,118,319,222,464,215,309,151,142,40,534,200,655,189,782,221,824,232,236,126,333,268,248,506,259,533,414,128,310,349,254,181,274,253,Out
