Frame,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,Joint X,Joint Y,
,SpineBase,SpineBase,SpineMid,SpineMid,Neck ,Neck ,Head,Head,ShoulderLeft,ShoulderLeft,ElbowLeft,ElbowLeft,WristLeft,WristLeft,HandLeft,HandLeft,ShoulderRight,ShoulderRight,ElbowRight,ElbowRight,WristRight,WristRight,HandRight,HandRight,HipLeft,HipLeft,KneeLeft,KneeLeft,AnkleLeft,AnkleLeft,FootLeft ,FootLeft ,HipRight  ,HipRight  ,KneeRight  ,KneeRight  ,AnkleRight,AnkleRight,FootRight ,FootRight ,Position
3,280,284,282,264,280,151,275,94,223,190,203,277,199,356,199,389,338,188,358,279,362,360,361,393,254,311,245,420,235,540,230,571,307,310,314,428,321,542,321,574,In
4,269,284,271,263,267,149,262,90,209,189,188,273,187,353,189,388,327,187,348,280,350,362,350,397,242,312,239,425,235,554,229,588,297,311,306,432,313,550,313,583,In
5,268,284,269,264,264,149,260,89,205,189,185,273,184,354,186,389,325,187,346,280,349,362,350,397,240,313,238,425,235,553,231,586,296,311,305,433,313,550,312,583,In
6,262,286,263,264,256,149,249,88,196,189,177,272,179,354,179,380,317,187,341,282,344,365,346,401,235,314,233,430,229,555,224,589,291,313,301,439,312,579,312,616,In
7,261,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,261,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,254,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,247,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,194,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,175,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,177,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,177,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,315,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,340,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,344,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,346,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,234,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,230,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,225,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,220,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,290,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,302,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,316,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,317,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
8,277,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,279,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,274,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,263,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,205,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,182,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,181,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,182,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,344,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,377,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,379,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,380,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,246,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,214,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,181,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,170,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,309,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,354,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,400,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,404,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
9,259,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,261,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,250,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,238,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,166,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,136,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,147,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,128,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,335,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,373,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,374,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,375,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,220,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,181,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,138,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,119,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,302,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,343,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,379,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,384,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
10,249,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,249,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,238,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,214,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,148,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,108,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,92,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,79,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,327,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,373,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,375,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,369,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,209,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,133,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,50,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,23,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,292,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,358,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,417,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,429,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
11,283,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,287,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,295,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,234,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,188,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,127,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,166,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,169,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,381,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,404,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,357,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,340,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,229,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,185,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,373,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,349,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,330,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,480,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,373,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,385,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
12,272,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,274,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,279,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,224,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
0,200,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In
