Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
1,0.12832,-0.35659,1.5005,0.12492,-0.30865,1.5652,0.13327,0.033321,1.6344,0.14203,0.21536,1.6424,-0.014787,-0.07705,1.5616,-0.073597,-0.27934,1.5202,-0.078776,-0.47808,1.4391,-0.078524,-0.53377,1.4207,0.29203,-0.087931,1.5882,0.34214,-0.29254,1.5466,0.35917,-0.48931,1.4585,0.361,-0.55571,1.428,0.057984,-0.41888,1.4725,-0.23106,-0.53646,1.4715,-0.52826,-0.65736,1.4583,-0.581,-0.65483,1.3892,0.1961,-0.42387,1.48,0.47078,-0.56998,1.4937,0.75321,-0.72023,1.4955,0.81117,-0.72108,1.4307,In,Near
2,0.12213,-0.35746,1.4849,0.11831,-0.30781,1.5475,0.11831,0.038395,1.6307,0.13784,0.21525,1.6223,-0.020055,-0.07576,1.5485,-0.077111,-0.27734,1.5108,-0.082872,-0.4761,1.4319,-0.082657,-0.53369,1.4124,0.28897,-0.086469,1.5711,0.33593,-0.29034,1.53,0.35342,-0.48538,1.4428,0.3551,-0.5454,1.4124,0.052587,-0.42021,1.4573,-0.23324,-0.54082,1.462,-0.52714,-0.66484,1.4567,-0.58091,-0.662,1.3891,0.19169,-0.42456,1.4614,0.47035,-0.56129,1.4625,0.75687,-0.70189,1.4534,0.81252,-0.69912,1.3871,In,Near
3,0.19715,-0.36085,1.5352,0.19449,-0.30996,1.5956,0.18672,0.035357,1.6732,0.20366,0.20958,1.6626,0.048563,-0.076742,1.6009,-0.0055375,-0.30208,1.5421,-0.012137,-0.47858,1.4539,-0.011142,-0.54367,1.4309,0.36632,-0.086302,1.6045,0.42934,-0.31126,1.5616,0.43415,-0.49473,1.4709,0.43455,-0.55059,1.442,0.12631,-0.42612,1.5143,-0.16913,-0.52749,1.4671,-0.47291,-0.63173,1.4073,-0.51932,-0.62223,1.3332,0.27167,-0.42938,1.5055,0.58571,-0.62401,1.4778,0.82438,-0.77193,1.4424,0.86245,-0.76801,1.3706,In,Near
4,0.30992,-0.36741,1.5789,0.31901,-0.31592,1.6375,0.34172,0.026523,1.6984,0.34801,0.21058,1.6904,0.18409,-0.082826,1.6607,0.12377,-0.32179,1.6274,0.11858,-0.4958,1.561,0.11559,-0.57013,1.553,0.49379,-0.093244,1.6275,0.55568,-0.32658,1.5703,0.55475,-0.49249,1.4762,0.55702,-0.54278,1.4533,0.23499,-0.43262,1.5703,0.067965,-0.76879,1.5465,-0.05897,-1.0243,1.5135,-0.088147,-1.0438,1.4387,0.37547,-0.43667,1.5448,0.50449,-0.78346,1.4683,0.60256,-1.047,1.3952,0.61147,-1.0648,1.3151,In,Near
5,0.29482,-0.36905,1.5986,0.30283,-0.32065,1.6634,0.31906,0.025241,1.7369,0.33419,0.2067,1.7411,0.16422,-0.087637,1.6901,0.10307,-0.33415,1.6405,0.10443,-0.52562,1.5506,0.1038,-0.58009,1.5328,0.47171,-0.097699,1.6586,0.53648,-0.34041,1.5941,0.53159,-0.52308,1.4852,0.53117,-0.57598,1.461,0.22158,-0.43191,1.5845,-0.064186,-0.59938,1.6191,-0.35802,-0.77157,1.6426,-0.42314,-0.77608,1.5762,0.36009,-0.43677,1.5628,0.66115,-0.57688,1.5084,0.9707,-0.72094,1.4403,1.017,-0.71688,1.3593,In,Near
6,0.30404,-0.36816,1.5916,0.31419,-0.31855,1.6553,0.33593,0.027406,1.7191,0.34274,0.20784,1.7245,0.17638,-0.084841,1.6815,0.10953,-0.33277,1.6404,0.10762,-0.52599,1.5521,0.1035,-0.57991,1.5354,0.48145,-0.0943,1.6445,0.54231,-0.33416,1.5823,0.53559,-0.51707,1.4718,0.53413,-0.5509,1.4569,0.22998,-0.43176,1.5798,-0.058124,-0.59465,1.619,-0.35436,-0.76215,1.6472,-0.42015,-0.76682,1.5813,0.36789,-0.43522,1.5566,0.70012,-0.63248,1.4654,0.95262,-0.7824,1.3805,0.98026,-0.77684,1.2985,In,Near
7,0.3203,-0.3568,1.5245,0.33291,-0.30864,1.5875,0.35451,0.031493,1.6493,0.35606,0.21618,1.6607,0.19552,-0.078578,1.6257,0.13232,-0.32286,1.5932,0.12664,-0.51836,1.5021,0.12055,-0.57352,1.486,0.49761,-0.08656,1.5755,0.56012,-0.31541,1.5152,0.55468,-0.50195,1.4114,0.55747,-0.55521,1.3891,0.24582,-0.42102,1.516,0.0061743,-0.73431,1.4982,-0.17596,-0.97241,1.4691,-0.2173,-0.98351,1.3936,0.38312,-0.4223,1.4874,0.73156,-0.60468,1.4439,0.99638,-0.7433,1.3952,1.0304,-0.73939,1.3155,In,Near
8,0.24331,-0.3114,1.3268,0.24567,-0.26314,1.3897,0.25618,0.07284,1.4474,0.26828,0.24718,1.4538,0.10282,-0.041714,1.3944,0.036598,-0.28035,1.3464,0.0209,-0.46545,1.2455,0.021702,-0.51803,1.2251,0.41538,-0.050067,1.3904,0.46926,-0.28521,1.3341,0.46633,-0.46793,1.2271,0.46674,-0.51802,1.2011,0.17026,-0.37539,1.3069,0.49509,-0.55421,1.1708,0.74211,-0.6902,1.0517,0.76905,-0.68057,0.97068,0.3118,-0.38021,1.3002,0.66896,-0.53418,1.2499,0.94056,-0.65126,1.196,0.97729,-0.64173,1.1189,In,Near
9,0.27836,-0.29698,1.197,0.28924,-0.24973,1.2606,0.3024,0.088707,1.3284,0.28867,0.26725,1.3348,0.13843,-0.03036,1.2888,0.084121,-0.26666,1.2542,0.062214,-0.45985,1.1763,0.058295,-0.51091,1.1531,0.43329,-0.045886,1.2371,0.50874,-0.2634,1.1779,0.52436,-0.45193,1.086,0.5159,-0.50113,1.0601,0.20386,-0.36059,1.1887,0.49686,-0.5833,1.0475,0.71966,-0.75266,0.92464,0.73771,-0.7475,0.84097,0.34426,-0.35929,1.1602,0.71422,-0.4793,1.1222,0.99556,-0.57056,1.0778,1.0307,-0.55731,1.0007,In,Near
10,0.25794,-0.26713,1.02,0.27409,-0.22022,1.0819,0.30085,0.11428,1.1429,0.29515,0.29554,1.1565,0.14356,-0.0061534,1.1064,0.090074,-0.24191,1.0676,0.08507,-0.43385,0.9859,0.039519,-0.46208,0.97,0.4131,-0.021833,1.0453,0.47569,-0.22783,0.98345,0.4895,-0.42171,0.90869,0.4941,-0.48634,0.88806,0.18326,-0.32498,1.0153,-0.1468,-0.51019,1.0875,-0.39778,-0.65103,1.1269,-0.45581,-0.64729,1.0645,0.31942,-0.32642,0.98306,0.70138,-0.38428,0.93512,0.99182,-0.42828,0.88321,1.0229,-0.40776,0.80644,In,Near
11,0.24914,-0.24154,0.98428,0.25654,-0.19166,1.042,0.2506,0.13377,1.0757,0.25164,0.30442,1.0885,0.1195,-0.0035934,1.0102,0.033239,-0.18503,1.0006,0.037941,-0.36671,0.90099,-7.36E-05,-0.40672,0.89876,0.36772,-0.010272,0.97007,0.43736,-0.23061,0.90322,0.49709,-0.41963,0.85454,0.50834,-0.45521,0.84776,0.16943,-0.30165,0.98706,-0.18458,-0.42037,0.89246,-0.45469,-0.51096,0.80508,-0.4919,-0.50073,0.73009,0.3279,-0.29236,0.95077,0.59285,-0.019827,0.97875,0.79502,0.18813,0.9849,0.81049,0.23553,0.91688,In,Near
12,-0.11822,-0.37834,1.692,-0.12766,-0.33049,1.7535,-0.13224,0.0047577,1.8182,-0.11894,0.18879,1.8412,-0.27487,-0.10172,1.7425,-0.34397,-0.34232,1.6786,-0.32867,-0.52795,1.588,-0.32533,-0.59792,1.5622,0.027163,-0.11646,1.7874,0.082261,-0.37173,1.7423,0.083657,-0.55593,1.6469,0.086906,-0.62409,1.6167,-0.18137,-0.43944,1.657,-0.23673,-0.80311,1.5912,-0.28016,-1.0884,1.5248,-0.2755,-1.1115,1.4435,-0.051155,-0.4474,1.6802,0.14871,-0.75745,1.6223,0.30551,-1.0007,1.562,0.34021,-1.0096,1.4852,In,Near
13,-0.17365,-0.37637,1.6654,-0.18051,-0.32872,1.7268,-0.19859,0.0030315,1.7862,-0.19162,0.1885,1.8182,-0.346,-0.11112,1.7213,-0.40636,-0.3507,1.6735,-0.39977,-0.54079,1.5912,-0.40107,-0.61287,1.5696,-0.0413,-0.11236,1.7399,0.026963,-0.3671,1.6904,0.038062,-0.5548,1.5969,0.043595,-0.61395,1.5718,-0.23522,-0.44235,1.6369,-0.44785,-0.74941,1.6204,-0.61453,-0.9901,1.5926,-0.64289,-1.0107,1.5152,-0.10374,-0.44016,1.6478,0.12176,-0.73229,1.5776,0.29852,-0.96128,1.5076,0.32849,-0.9683,1.4284,In,Near
