Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
1,0.010857,-0.27016,1.4819,0.010391,-0.22332,1.5413,0.012609,0.097545,1.5878,0.014082,0.26719,1.6016,-0.15696,0.0059301,1.5737,-0.41662,0.085642,1.6249,-0.64169,0.15392,1.6067,-0.71709,0.20532,1.5825,0.19434,0.001862,1.578,0.4649,0.037343,1.6303,0.6972,0.067805,1.6392,0.71839,0.063877,1.633,-0.068445,-0.34455,1.452,-0.25574,-0.73843,1.4877,-0.39808,-1.0378,1.4998,-0.42964,-1.0781,1.418,0.089626,-0.34636,1.4636,0.3478,-0.7011,1.4447,0.54402,-0.97071,1.4154,0.57993,-0.99029,1.3279,Out,Far
2,0.024583,-0.26908,1.4912,0.023953,-0.22231,1.5493,0.02459,0.094031,1.5914,0.02192,0.26563,1.6015,-0.13939,0.0075537,1.5795,-0.39181,0.058623,1.6283,-0.61841,0.11547,1.6169,-0.71234,0.12576,1.6095,0.20937,0.002554,1.5815,0.4794,0.027856,1.6249,0.71161,0.052744,1.6187,0.80444,0.060768,1.6013,-0.05329,-0.34517,1.4654,-0.20017,-0.75723,1.4292,-0.31179,-1.0704,1.3867,-0.33071,-1.099,1.2966,0.10313,-0.34316,1.4708,0.1446,-0.76935,1.3658,0.17613,-1.0933,1.2711,0.18152,-1.1139,1.1771,Out,Far
3,0.029553,-0.26697,1.4847,0.029345,-0.21966,1.5428,0.030485,0.098253,1.5843,0.024703,0.26696,1.5934,-0.13627,0.0088111,1.5733,-0.38789,0.056897,1.6218,-0.61551,0.10684,1.6093,-0.7078,0.11285,1.6016,0.2134,0.0058663,1.5749,0.48258,0.026776,1.6119,0.71394,0.053915,1.5932,0.75423,0.056176,1.5744,-0.049032,-0.34375,1.4584,-0.18795,-0.75826,1.4204,-0.29352,-1.0733,1.3766,-0.31145,-1.102,1.2865,0.10789,-0.3407,1.4645,0.13425,-0.76507,1.3473,0.15428,-1.0876,1.2433,0.15765,-1.1067,1.1489,Out,Far
4,0.026677,-0.26812,1.4829,0.026341,-0.22045,1.5408,0.024056,0.097588,1.5812,0.022449,0.26698,1.5896,-0.13855,0.008423,1.5708,-0.39009,0.053852,1.6194,-0.61675,0.102,1.6069,-0.70833,0.1062,1.5989,0.21,0.0051556,1.5705,0.46919,0.016369,1.6042,0.69905,0.04526,1.5869,0.74947,0.04774,1.5645,-0.050898,-0.34482,1.457,-0.1978,-0.75701,1.4271,-0.30945,-1.0703,1.3895,-0.32925,-1.0999,1.3,0.10466,-0.34174,1.4631,0.13326,-0.76647,1.3478,0.15499,-1.0893,1.2453,0.15817,-1.1088,1.151,Out,Far
5,0.026345,-0.26856,1.4802,0.026293,-0.22059,1.5377,0.029071,0.09591,1.5747,0.022411,0.26603,1.5812,-0.1402,0.0085163,1.5664,-0.3908,0.052739,1.6132,-0.61568,0.10319,1.6,-0.70653,0.10784,1.5919,0.20942,0.0042234,1.567,0.46872,0.014369,1.6021,0.69728,0.043636,1.5851,0.74762,0.046068,1.5628,-0.051885,-0.34537,1.4541,-0.19733,-0.75789,1.4279,-0.30786,-1.0714,1.3929,-0.32722,-1.102,1.3037,0.1042,-0.34266,1.4616,0.13243,-0.76746,1.3478,0.15388,-1.0903,1.2464,0.15727,-1.1103,1.1523,Out,Far
6,0.027141,-0.26791,1.4763,0.02688,-0.21988,1.5337,0.029811,0.097162,1.5705,0.024144,0.26656,1.5753,-0.13961,0.0097326,1.5615,-0.38945,0.051874,1.6043,-0.61361,0.10298,1.5881,-0.70417,0.1082,1.5798,0.21054,0.0044844,1.5645,0.46923,0.012819,1.6004,0.69722,0.042431,1.584,0.78539,0.04968,1.5623,-0.051483,-0.34495,1.4496,-0.19855,-0.75701,1.4272,-0.31033,-1.0702,1.3953,-0.32954,-1.1016,1.3064,0.10501,-0.34234,1.4584,0.10241,-0.76896,1.3485,0.10044,-1.0932,1.2499,0.10125,-1.1139,1.1559,Out,Far
7,0.020724,-0.26239,1.4628,0.021233,-0.21223,1.5177,0.024328,0.10101,1.5358,0.020874,0.26957,1.5352,-0.14775,0.018741,1.5371,-0.38937,0.050617,1.5693,-0.61262,0.10176,1.5562,-0.70314,0.10576,1.5502,0.20676,0.008076,1.5349,0.46044,0.011777,1.5707,0.68784,0.038448,1.5526,0.77599,0.042796,1.5312,-0.058602,-0.34079,1.4395,-0.19251,-0.75704,1.4069,-0.29427,-1.0734,1.3671,-0.31076,-1.1044,1.2774,0.098642,-0.3391,1.4484,0.15321,-0.75581,1.3136,0.19469,-1.0725,1.1961,0.19979,-1.0915,1.1019,Out,Far
8,0.089349,-0.2265,1.29,0.089358,-0.17684,1.3457,0.089437,0.14028,1.3719,0.080791,0.30508,1.3855,-0.08019,0.040805,1.3627,-0.31249,0.05028,1.3995,-0.53527,0.092366,1.3911,-0.5996,0.10874,1.3883,0.27115,0.043473,1.3634,0.48859,0.050926,1.4029,0.71362,0.078844,1.3888,0.78863,0.08815,1.3883,0.0085223,-0.30465,1.2681,-0.14354,-0.71488,1.2496,-0.25933,-1.0273,1.2206,-0.27947,-1.0591,1.1323,0.17016,-0.30163,1.2726,0.3632,-0.69424,1.2668,0.5102,-0.9932,1.2475,0.5365,-1.0241,1.1605,Out,Far
9,0.057898,-0.17526,1.0283,0.06068,-0.1302,1.0859,0.062557,0.17724,1.126,0.062024,0.33691,1.1388,-0.10073,0.070448,1.1184,-0.31362,0.082684,1.1552,-0.5317,0.11733,1.1446,-0.53342,0.11503,1.1411,0.23653,0.071321,1.1032,0.44898,0.080131,1.1386,0.66542,0.12335,1.1195,0.72996,0.13461,1.1147,-0.025109,-0.24885,1.0089,-0.19539,-0.64024,1.075,-0.32508,-0.93836,1.1106,-0.36134,-0.98411,1.0355,0.13897,-0.24671,1.0027,0.3859,-0.59836,0.92947,0.57397,-0.8662,0.85885,0.59888,-0.881,0.76822,Out,Far
