Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
1,0.087374,-0.56793,2.7371,0.08297,-0.52466,2.8037,0.060998,-0.1916,2.8911,0.060003,0.0015554,2.8921,-0.088739,-0.31182,2.8067,-0.13489,-0.5646,2.7567,-0.14513,-0.76756,2.6461,-0.14343,-0.80277,2.6312,0.23787,-0.28501,2.8152,0.31114,-0.54093,2.7282,0.32267,-0.75223,2.6024,0.33321,-0.81394,2.5665,0.019939,-0.64068,2.7067,-0.0050849,-0.92969,2.6822,0.11581,-1.2891,2.7501,0.16256,-1.3516,2.7001,0.16572,-0.62725,2.7081,0.20879,-0.94982,2.6438,0.25476,-1.2941,2.5637,0.26209,-1.3176,2.4686,In,Far
2,-0.2873,-0.57489,2.7495,-0.28643,-0.53214,2.8149,-0.31744,-0.20805,2.8933,-0.35306,-0.017945,2.8824,-0.47575,-0.3325,2.8543,-0.50869,-0.57337,2.81,-0.51066,-0.78098,2.7081,-0.51215,-0.82213,2.6874,-0.15012,-0.30069,2.8278,-0.064012,-0.56257,2.7783,-0.018603,-0.77143,2.6923,-0.0030277,-0.82215,2.663,-0.3547,-0.6539,2.7345,-0.37373,-0.94403,2.6863,-0.26587,-1.2971,2.7356,-0.23733,-1.3701,2.6772,-0.21165,-0.63423,2.7061,-0.15675,-0.93726,2.6237,-0.094213,-1.2824,2.5192,-0.094702,-1.3012,2.4233,In,Far
3,-0.25607,-0.5977,2.8787,-0.25203,-0.55118,2.9406,-0.25051,-0.22393,2.9966,-0.27077,-0.029244,2.9887,-0.41831,-0.33171,2.9622,-0.46651,-0.5684,2.9036,-0.47524,-0.7714,2.793,-0.4642,-0.81939,2.7762,-0.099231,-0.31512,2.9443,-0.025106,-0.57906,2.8766,0.019514,-0.76769,2.7485,0.025697,-0.8277,2.7016,-0.33041,-0.66884,2.8619,-0.36871,-0.9593,2.7816,-0.19226,-1.2762,2.7737,-0.15713,-1.3102,2.6892,-0.18355,-0.6631,2.848,-0.17276,-0.96318,2.8269,-0.25452,-1.3247,2.7945,-0.27719,-1.3572,2.7053,In,Far
4,-0.31201,-0.61575,3.0898,-0.33435,-0.57033,3.1437,-0.32463,-0.258,3.1918,-0.24935,-0.083068,3.2045,-0.46173,-0.33153,3.1043,-0.55253,-0.57655,3.029,-0.54941,-0.78883,2.9423,-0.5464,-0.8615,2.9344,-0.18662,-0.37961,3.2277,-0.1375,-0.6549,3.2203,-0.071146,-0.85991,3.1435,-0.043255,-0.94526,3.1117,-0.3752,-0.67742,3.0161,-0.40691,-0.99804,3.0133,-0.37152,-1.3399,3.0376,-0.3222,-1.3856,2.9672,-0.24233,-0.706,3.1177,-0.24551,-0.9999,3.0099,-0.18953,-1.3483,2.9116,-0.14383,-1.3672,2.8278,In,Far
5,-0.25086,-0.6342,3.1987,-0.26023,-0.59168,3.2595,-0.28354,-0.28236,3.3134,-0.27077,-0.090547,3.263,-0.43756,-0.37394,3.2666,-0.48805,-0.60921,3.2033,-0.52759,-0.80323,3.0848,-0.52497,-0.86695,3.055,-0.10759,-0.37285,3.2921,-0.01931,-0.6303,3.2444,0.04184,-0.81715,3.1233,0.067629,-0.89008,3.0673,-0.31565,-0.70688,3.1659,-0.34003,-1.0062,3.1002,-0.37373,-1.3647,3.0479,-0.37328,-1.3973,2.9566,-0.17163,-0.70261,3.1814,-0.15506,-1.0238,3.1475,-0.14622,-1.3665,3.1479,-0.13736,-1.4152,3.0645,In,Far
6,-0.22369,-0.67213,3.3607,-0.21637,-0.62413,3.4091,-0.26211,-0.35102,3.3991,-0.36836,-0.19433,3.3467,-0.43605,-0.44371,3.4311,-0.43217,-0.71194,3.5442,-0.48358,-0.92816,3.5494,-0.49685,-0.97314,3.5266,-0.098952,-0.38662,3.335,0.061025,-0.60022,3.2896,0.0865,-0.77589,3.142,0.0954,-0.83618,3.0947,-0.29469,-0.77104,3.3806,-0.25835,-1.0437,3.3084,-0.24594,-1.3216,3.3518,-0.2701,-1.381,3.2798,-0.13381,-0.73574,3.3181,-0.11715,-1.0275,3.2288,-0.076004,-1.379,3.1864,-0.095611,-1.4187,3.1007,In,Far
7,-0.26205,-0.67393,3.4437,-0.25216,-0.63223,3.5007,-0.31074,-0.34419,3.5548,-0.37489,-0.16655,3.4882,-0.46846,-0.46897,3.5906,-0.4865,-0.69848,3.6185,-0.47209,-0.91407,3.5541,-0.49321,-0.98125,3.5508,-0.15086,-0.40269,3.4748,-0.018864,-0.65349,3.425,0.028695,-0.84778,3.3156,0.038772,-0.91227,3.3026,-0.31999,-0.76745,3.4468,-0.29728,-1.0648,3.3989,-0.23618,-1.4129,3.3814,-0.2583,-1.4603,3.3008,-0.18064,-0.72627,3.3894,-0.18278,-1.0547,3.3238,-0.14792,-1.3742,3.287,-0.1759,-1.4124,3.2034,In,Far
8,-0.054164,-0.68163,3.4646,-0.058144,-0.63557,3.5245,-0.075149,-0.31675,3.5743,-0.058393,-0.13317,3.5441,-0.21955,-0.42408,3.552,-0.27732,-0.70126,3.5354,-0.28698,-0.91743,3.4571,-0.2697,-0.9591,3.4032,0.11143,-0.40703,3.5576,0.19884,-0.68341,3.4615,0.23296,-0.87893,3.3487,0.22274,-0.93647,3.3064,-0.12124,-0.76008,3.4396,-0.15971,-1.0706,3.3814,-0.20567,-1.3323,3.3946,-0.20825,-1.3911,3.3384,0.022611,-0.74881,3.4411,0.0832,-1.0625,3.343,0.1196,-1.3767,3.2984,0.12658,-1.4084,3.2084,In,Far
9,0.076286,-0.67684,3.4645,0.072962,-0.63134,3.5257,0.059233,-0.31177,3.5808,0.067026,-0.1105,3.5945,-0.099151,-0.41052,3.5306,-0.14268,-0.67664,3.4734,-0.13733,-0.87308,3.3555,-0.12572,-0.93819,3.3217,0.23502,-0.40247,3.5447,0.32068,-0.6717,3.5004,0.33898,-0.86511,3.3784,0.34397,-0.93914,3.3189,0.0040069,-0.75079,3.4354,0.016545,-1.0709,3.3667,0.023337,-1.3346,3.355,0.028242,-1.3788,3.2701,0.15499,-0.74571,3.4447,0.17673,-1.0698,3.362,0.18662,-1.3765,3.2964,0.19126,-1.4026,3.2043,In,Far
